epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,6910.56,0.71174,0.49469,1.07463,0.95353,0.96782,0.98961,0.86935,0.59093,0.32597,0.93191,0.00028339,0.00028339,0.00028339
85,6992.47,0.70167,0.48238,1.06778,0.95461,0.96268,0.99003,0.86745,0.57411,0.31597,0.92138,0.00026672,0.00026672,0.00026672
86,7074.38,0.70281,0.46384,1.06513,0.95261,0.96094,0.98906,0.86626,0.58376,0.32656,0.92814,0.00025005,0.00025005,0.00025005
87,7156.41,0.71278,0.47467,1.07701,0.95219,0.96315,0.98981,0.86646,0.58531,0.31887,0.92542,0.00023338,0.00023338,0.00023338
88,7238.22,0.71095,0.47135,1.07194,0.92678,0.97236,0.98859,0.86616,0.57972,0.32509,0.92864,0.00021671,0.00021671,0.00021671
89,7319.78,0.71305,0.47449,1.0706,0.94134,0.97129,0.98903,0.86746,0.57223,0.30918,0.91784,0.00020004,0.00020004,0.00020004
90,7402.13,0.52321,0.30516,0.95277,0.92795,0.96864,0.98872,0.87034,0.57839,0.32517,0.92051,0.00018337,0.00018337,0.00018337
91,7484.29,0.52194,0.29331,0.94944,0.96708,0.94895,0.98795,0.87268,0.57062,0.3215,0.91541,0.0001667,0.0001667,0.0001667
92,7566.23,0.51356,0.28648,0.94492,0.956,0.95,0.9874,0.87629,0.57057,0.31179,0.91394,0.00015003,0.00015003,0.00015003
93,7648.28,0.50419,0.28271,0.94225,0.95144,0.94711,0.98844,0.87429,0.56867,0.31762,0.91317,0.00013336,0.00013336,0.00013336
94,7729.87,0.505,0.27725,0.94686,0.96371,0.94311,0.9889,0.87622,0.57105,0.3139,0.91591,0.00011669,0.00011669,0.00011669
95,7811.93,0.49481,0.2725,0.92851,0.95866,0.95727,0.98834,0.87526,0.56769,0.30648,0.91875,0.00010002,0.00010002,0.00010002
96,7893.56,0.49379,0.27318,0.93741,0.95179,0.95069,0.98698,0.87358,0.56671,0.3206,0.91863,8.335e-05,8.335e-05,8.335e-05
97,7975.32,0.49117,0.26979,0.93459,0.93482,0.97052,0.98753,0.87308,0.56844,0.31456,0.9188,6.668e-05,6.668e-05,6.668e-05
98,8056.91,0.48895,0.26533,0.9317,0.96065,0.94943,0.98815,0.87434,0.5657,0.30425,0.91506,5.001e-05,5.001e-05,5.001e-05
99,8138.52,0.47974,0.2591,0.92181,0.96567,0.94582,0.98841,0.87611,0.56415,0.30112,0.91531,3.334e-05,3.334e-05,3.334e-05
