epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,2094.26,0.67891,0.41708,0.99857,0.94804,0.95412,0.99067,0.85482,0.61588,0.35135,0.93329,0.00078349,0.00078349,0.00078349
55,2131.96,0.64583,0.39568,0.9855,0.95733,0.97397,0.98942,0.8574,0.6093,0.33235,0.92571,0.00076682,0.00076682,0.00076682
56,2170.89,0.65696,0.40166,0.99251,0.92808,0.97634,0.98945,0.86232,0.61273,0.34071,0.92756,0.00075015,0.00075015,0.00075015
57,2208.53,0.63745,0.38089,0.98116,0.9623,0.94958,0.98939,0.86918,0.6185,0.33057,0.92892,0.00073348,0.00073348,0.00073348
58,2246.49,0.65376,0.39551,0.99551,0.97085,0.96396,0.98762,0.85633,0.606,0.326,0.92984,0.00071681,0.00071681,0.00071681
59,2284.47,0.64141,0.39245,0.98903,0.96713,0.95977,0.98985,0.86808,0.59429,0.32518,0.92171,0.00070014,0.00070014,0.00070014
60,2323.97,0.63105,0.37358,0.98607,0.96819,0.97441,0.99187,0.86456,0.60872,0.31084,0.92883,0.00068347,0.00068347,0.00068347
61,2362.97,0.65571,0.38902,0.98512,0.98003,0.96362,0.99081,0.86481,0.60661,0.31877,0.92989,0.0006668,0.0006668,0.0006668
62,2400.44,0.64213,0.38399,0.98034,0.98046,0.9455,0.99208,0.85763,0.61359,0.3266,0.92948,0.00065013,0.00065013,0.00065013
63,2438.07,0.63339,0.37664,0.98144,0.95179,0.96856,0.9898,0.86908,0.59359,0.32455,0.92478,0.00063346,0.00063346,0.00063346
64,2476.41,0.63454,0.37684,0.98157,0.96081,0.97273,0.9904,0.87424,0.59936,0.32034,0.92566,0.00061679,0.00061679,0.00061679
65,2514.5,0.63124,0.37789,0.9761,0.95654,0.96024,0.99171,0.87018,0.59594,0.34227,0.92082,0.00060012,0.00060012,0.00060012
66,2552.45,0.63784,0.37823,0.98378,0.95406,0.95923,0.98968,0.86495,0.59385,0.32267,0.92189,0.00058345,0.00058345,0.00058345
67,2591.2,0.63022,0.37579,0.97483,0.96393,0.97876,0.99034,0.86542,0.59118,0.30808,0.92671,0.00056678,0.00056678,0.00056678
68,2630.08,0.61624,0.3669,0.9774,0.95218,0.97093,0.98931,0.8672,0.58957,0.32011,0.92068,0.00055011,0.00055011,0.00055011
69,2669.17,0.61137,0.35574,0.96913,0.97326,0.96201,0.99047,0.86802,0.58329,0.31148,0.91553,0.00053344,0.00053344,0.00053344
70,2708.76,0.59944,0.35928,0.96363,0.97027,0.9697,0.99107,0.87745,0.59554,0.30969,0.91207,0.00051677,0.00051677,0.00051677
71,2748.07,0.59666,0.35356,0.9615,0.94805,0.97105,0.99087,0.87134,0.58481,0.31755,0.91879,0.0005001,0.0005001,0.0005001
72,2787.27,0.60645,0.35889,0.97202,0.9658,0.95626,0.98976,0.86933,0.59086,0.31787,0.9247,0.00048343,0.00048343,0.00048343
