epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,2205.39,0.77503,0.53334,1.0604,0.95064,0.9506,0.98683,0.85146,0.62599,0.35362,0.94944,0.00075015,0.00075015,0.00075015
57,2244.7,0.78396,0.55621,1.07247,0.96069,0.92192,0.98413,0.83826,0.65,0.38444,0.959,0.00073348,0.00073348,0.00073348
58,2283.89,0.76976,0.52058,1.05924,0.96442,0.95159,0.98896,0.84756,0.61988,0.3615,0.93846,0.00071681,0.00071681,0.00071681
59,2323.11,0.78233,0.53398,1.07253,0.96062,0.9499,0.98676,0.85587,0.61601,0.35689,0.93566,0.00070014,0.00070014,0.00070014
60,2362.4,0.76159,0.52779,1.0524,0.95785,0.9444,0.98797,0.85554,0.6264,0.35082,0.94445,0.00068347,0.00068347,0.00068347
61,2401.73,0.7664,0.51852,1.06086,0.96324,0.9536,0.98887,0.84917,0.62211,0.34696,0.94575,0.0006668,0.0006668,0.0006668
62,2441.17,0.77367,0.54297,1.06371,0.93074,0.9757,0.98565,0.84837,0.64016,0.36845,0.94927,0.00065013,0.00065013,0.00065013
63,2480.38,0.77035,0.51788,1.0599,0.96364,0.95348,0.98699,0.84623,0.63285,0.35645,0.95142,0.00063346,0.00063346,0.00063346
64,2519.69,0.75967,0.51904,1.0591,0.93971,0.95953,0.9868,0.8534,0.61607,0.35526,0.94069,0.00061679,0.00061679,0.00061679
65,2559.08,0.75538,0.50942,1.05685,0.92856,0.96526,0.98704,0.86212,0.60286,0.36185,0.93603,0.00060012,0.00060012,0.00060012
66,2598.38,0.73693,0.49509,1.03825,0.95915,0.95128,0.98765,0.85343,0.61406,0.34644,0.93781,0.00058345,0.00058345,0.00058345
67,2637.6,0.75369,0.50977,1.05595,0.94975,0.94829,0.98733,0.85701,0.60485,0.36569,0.93208,0.00056678,0.00056678,0.00056678
68,2676.8,0.73804,0.48821,1.04683,0.94893,0.97522,0.98966,0.8563,0.61318,0.34366,0.94189,0.00055011,0.00055011,0.00055011
69,2716.15,0.73897,0.49085,1.04614,0.96874,0.94699,0.98781,0.85958,0.61299,0.33512,0.94337,0.00053344,0.00053344,0.00053344
70,2755.42,0.7307,0.47888,1.04195,0.94272,0.97042,0.99002,0.8613,0.61915,0.33692,0.94342,0.00051677,0.00051677,0.00051677
71,2794.89,0.73926,0.49228,1.04438,0.96093,0.95602,0.98872,0.86185,0.61026,0.33891,0.94061,0.0005001,0.0005001,0.0005001
72,2834.09,0.73501,0.48501,1.04917,0.9556,0.95585,0.98884,0.85937,0.59454,0.32381,0.92614,0.00048343,0.00048343,0.00048343
73,2873.38,0.7397,0.49856,1.04598,0.95096,0.96296,0.98956,0.85916,0.62171,0.33508,0.9352,0.00046676,0.00046676,0.00046676
74,2912.66,0.71615,0.46757,1.03506,0.95693,0.96416,0.98964,0.8582,0.62209,0.34566,0.94124,0.00045009,0.00045009,0.00045009
75,2951.87,0.72268,0.47158,1.03486,0.94179,0.97444,0.99044,0.86774,0.59519,0.31748,0.93719,0.00043342,0.00043342,0.00043342
76,2991.21,0.72122,0.46899,1.04025,0.95447,0.95458,0.9893,0.86502,0.61318,0.33383,0.93892,0.00041675,0.00041675,0.00041675
77,3030.46,0.71759,0.46184,1.03544,0.97528,0.96477,0.99172,0.86267,0.60888,0.32013,0.94586,0.00040008,0.00040008,0.00040008
78,3069.74,0.71507,0.45715,1.03549,0.96472,0.96902,0.99119,0.86226,0.60581,0.31063,0.93748,0.00038341,0.00038341,0.00038341
79,3109.2,0.71055,0.4673,1.03234,0.96438,0.96707,0.99053,0.8666,0.59982,0.30775,0.93353,0.00036674,0.00036674,0.00036674
80,3148.38,0.71552,0.46215,1.03458,0.94905,0.96804,0.99034,0.86528,0.60323,0.32367,0.93045,0.00035007,0.00035007,0.00035007
81,3187.66,0.70588,0.455,1.03027,0.96564,0.95037,0.98983,0.86823,0.601,0.30819,0.9272,0.0003334,0.0003334,0.0003334
82,3226.92,0.71665,0.45439,1.02924,0.95056,0.96152,0.99008,0.86775,0.60066,0.30918,0.93205,0.00031673,0.00031673,0.00031673
