epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,934.29,0.67362,0.40493,0.98294,0.9425,0.96799,0.982,0.84671,0.62153,0.37862,0.9707,0.00063346,0.00063346,0.00063346
64,949.162,0.67137,0.4091,0.98219,0.9736,0.93856,0.98765,0.86042,0.61869,0.3707,0.96601,0.00061679,0.00061679,0.00061679
65,963.703,0.68065,0.41458,0.98431,0.93883,0.96545,0.98878,0.86119,0.61702,0.36019,0.96562,0.00060012,0.00060012,0.00060012
66,978.521,0.6661,0.40462,0.98149,0.97102,0.94775,0.98573,0.85821,0.61613,0.3492,0.96575,0.00058345,0.00058345,0.00058345
67,993.064,0.65011,0.39818,0.96677,0.98146,0.95866,0.99129,0.85779,0.61209,0.34331,0.96331,0.00056678,0.00056678,0.00056678
68,1007.52,0.65709,0.39554,0.98086,0.9517,0.96856,0.99121,0.86872,0.60577,0.34379,0.95803,0.00055011,0.00055011,0.00055011
69,1022.36,0.66064,0.39481,0.97561,0.94928,0.97492,0.99025,0.85981,0.61586,0.35053,0.95469,0.00053344,0.00053344,0.00053344
70,1036.95,0.67078,0.40863,0.98572,0.96029,0.93813,0.9867,0.86096,0.61299,0.36226,0.95929,0.00051677,0.00051677,0.00051677
71,1051.81,0.64914,0.38994,0.97397,0.97781,0.9408,0.98815,0.864,0.6002,0.33743,0.95847,0.0005001,0.0005001,0.0005001
72,1066.4,0.64516,0.38598,0.976,0.95206,0.9636,0.99113,0.86236,0.60417,0.34517,0.96109,0.00048343,0.00048343,0.00048343
73,1081.24,0.64698,0.38347,0.9691,0.96271,0.9607,0.98775,0.86638,0.59657,0.33373,0.95411,0.00046676,0.00046676,0.00046676
74,1095.92,0.63063,0.379,0.96864,0.96996,0.93918,0.98776,0.86496,0.59747,0.34538,0.94929,0.00045009,0.00045009,0.00045009
75,1110.89,0.65736,0.39253,0.97422,0.97774,0.92975,0.98793,0.86155,0.60362,0.35291,0.95802,0.00043342,0.00043342,0.00043342
76,1125.57,0.64005,0.38048,0.96902,0.96155,0.93088,0.98874,0.8668,0.59318,0.36173,0.95086,0.00041675,0.00041675,0.00041675
77,1140.85,0.64504,0.38349,0.97747,0.95981,0.94601,0.9905,0.86714,0.60263,0.34672,0.95006,0.00040008,0.00040008,0.00040008
78,1155.54,0.63781,0.38186,0.971,0.96516,0.95067,0.99055,0.86896,0.6008,0.34022,0.95413,0.00038341,0.00038341,0.00038341
79,1170.33,0.62677,0.3709,0.96867,0.96566,0.95876,0.99027,0.8753,0.59273,0.33096,0.95049,0.00036674,0.00036674,0.00036674
80,1184.88,0.62859,0.37188,0.96911,0.95245,0.94111,0.98549,0.86891,0.59652,0.35514,0.95419,0.00035007,0.00035007,0.00035007
81,1199.55,0.63031,0.37427,0.97461,0.95891,0.95555,0.98892,0.87226,0.59357,0.33473,0.9478,0.0003334,0.0003334,0.0003334
82,1214.09,0.62321,0.37215,0.96436,0.96036,0.96599,0.98932,0.86981,0.59835,0.33295,0.95095,0.00031673,0.00031673,0.00031673
83,1228.62,0.62466,0.37105,0.9687,0.9418,0.96466,0.98525,0.8679,0.59296,0.35162,0.95257,0.00030006,0.00030006,0.00030006
84,1243.37,0.62634,0.37008,0.96647,0.94843,0.96315,0.99087,0.8742,0.58989,0.32994,0.95208,0.00028339,0.00028339,0.00028339
